129.188.154.200,[01/Jul/1995:00:17:47,GET /shuttle/countdown/countdown.html HTTP/1.0,200,3985,/shuttle/countdown/countdown.html
ppp160.iadfw.net,[01/Jul/1995:00:18:13,GET /shuttle/countdown/countdown.html HTTP/1.0,200,3985,/shuttle/countdown/countdown.html
www-a1.proxy.aol.com,[01/Jul/1995:00:18:27,GET /facilities/vab.html HTTP/1.0,200,4045,/facilities/vab.html
ppp160.iadfw.net,[01/Jul/1995:00:18:28,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
kuts5p06.cc.ukans.edu,[01/Jul/1995:00:18:29,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
whlane.cts.com,[01/Jul/1995:00:18:31,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
cu-dialup-1005.cit.cornell.edu,[01/Jul/1995:00:18:39,GET /pub/winvn/readme.txt HTTP/1.0,404,-,/pub/winvn/readme.txt
burger.letters.com,[01/Jul/1995:00:18:43,GET /shuttle/countdown/liftoff.html HTTP/1.0,304,0,/shuttle/countdown/liftoff.html
ppp160.iadfw.net,[01/Jul/1995:00:18:44,GET /htbin/wais.pl HTTP/1.0,200,308,/htbin/wais.pl
cu-dialup-1005.cit.cornell.edu,[01/Jul/1995:00:18:45,GET /pub/winvn/readme.txt HTTP/1.0,404,-,/pub/winvn/readme.txt
cu-dialup-1005.cit.cornell.edu,[01/Jul/1995:00:18:49,GET /pub/winvn/release.txt HTTP/1.0,404,-,/pub/winvn/release.txt
h-shining.norfolk.infi.net,[01/Jul/1995:00:18:52,GET /shuttle/resources/orbiters/atlantis.html HTTP/1.0,200,7025,/shuttle/resources/orbiters/atlantis.html
magicall.dacom.co.kr,[01/Jul/1995:00:19:01,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
janice.cc.wwu.edu,[01/Jul/1995:00:19:12,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
teleman.pr.mcs.net,[01/Jul/1995:00:19:30,GET /history/history.html HTTP/1.0,200,1502,/history/history.html
cruzio.com,[01/Jul/1995:00:19:31,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
magicall.dacom.co.kr,[01/Jul/1995:00:19:32,GET /shuttle/resources/orbiters/columbia.html HTTP/1.0,200,6922,/shuttle/resources/orbiters/columbia.html
news.ti.com,[01/Jul/1995:00:19:33,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
teleman.pr.mcs.net,[01/Jul/1995:00:19:40,GET /history/apollo/apollo.html HTTP/1.0,200,3258,/history/apollo/apollo.html
dal31.pic.net,[01/Jul/1995:00:19:41,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
ppp6.cpbx.net,[01/Jul/1995:00:19:45,HEAD /software/winvn/winvn.html HTTP/1.0,200,0,/software/winvn/winvn.html
slip-28-14.ots.utexas.edu,[01/Jul/1995:00:19:58,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
slip-28-14.ots.utexas.edu,[01/Jul/1995:00:20:24,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
www-a1.proxy.aol.com,[01/Jul/1995:00:20:32,GET /facilities/crawler.html HTTP/1.0,200,3601,/facilities/crawler.html
slip-28-14.ots.utexas.edu,[01/Jul/1995:00:20:41,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
ix-phx5-17.ix.netcom.com,[01/Jul/1995:00:20:55,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
ana0013.deltanet.com,[01/Jul/1995:00:21:33,GET /software/winvn/winvn.html HTTP/1.0,200,9867,/software/winvn/winvn.html
netcom6.netcom.com,[01/Jul/1995:00:21:41,GET /software/winvn/winvn.html HTTP/1.0,200,9867,/software/winvn/winvn.html
ix-dfw11-01.ix.netcom.com,[01/Jul/1995:00:21:47,GET /shuttle/resources/orbiters/atlantis.html HTTP/1.0,200,7025,/shuttle/resources/orbiters/atlantis.html
202.36.46.52,[01/Jul/1995:00:21:48,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
dal31.pic.net,[01/Jul/1995:00:21:57,GET /shuttle/resources/orbiters/atlantis.html HTTP/1.0,200,7025,/shuttle/resources/orbiters/atlantis.html
sam-slip-l6.neosoft.com,[01/Jul/1995:00:22:09,GET /shuttle/countdown HTTP/1.0,302,-,/shuttle/countdown
ip149.santa-ana.ca.interramp.com,[01/Jul/1995:00:22:25,GET /msfc/onboard/onboard.html HTTP/1.0,200,1301,/msfc/onboard/onboard.html
ix-dfw11-01.ix.netcom.com,[01/Jul/1995:00:22:29,GET /shuttle/missions/100th.html HTTP/1.0,200,32303,/shuttle/missions/100th.html
chi067.wwa.com,[01/Jul/1995:00:22:31,GET /images HTTP/1.0,302,-,/images
rlnport2.cin.dca.com,[01/Jul/1995:00:23:11,GET /history/apollo/apollo.html HTTP/1.0,200,3258,/history/apollo/apollo.html
ix-ftw-tx1-21.ix.netcom.com,[01/Jul/1995:00:23:24,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
palona1.cns.hp.com,[01/Jul/1995:00:23:27,GET /facts/facts.html HTTP/1.0,200,4717,/facts/facts.html
www-b5.proxy.aol.com,[01/Jul/1995:00:23:37,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
ix-den6-18.ix.netcom.com,[01/Jul/1995:00:24:14,GET /facilities/tour.html HTTP/1.0,200,3723,/facilities/tour.html
blv-pm2-ip16.halcyon.com,[01/Jul/1995:00:24:25,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
burger.letters.com,[01/Jul/1995:00:24:45,GET /shuttle/countdown/liftoff.html HTTP/1.0,304,0,/shuttle/countdown/liftoff.html
leo.nmc.edu,[01/Jul/1995:00:24:48,GET /shuttle/countdown/lps/fr.html HTTP/1.0,200,1879,/shuttle/countdown/lps/fr.html
hoflink.com,[01/Jul/1995:00:24:58,GET /shuttle/missions/100th.html HTTP/1.0,200,32303,/shuttle/missions/100th.html
ix-den6-18.ix.netcom.com,[01/Jul/1995:00:24:59,GET /facilities/lc39a.html HTTP/1.0,200,7008,/facilities/lc39a.html
boing.dgsys.com,[01/Jul/1995:00:25:02,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
deimos.lpl.arizona.edu,[01/Jul/1995:00:25:10,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html
leo.nmc.edu,[01/Jul/1995:00:25:19,GET /shuttle/countdown/lps/omr/omr.html HTTP/1.0,200,1341,/shuttle/countdown/lps/omr/omr.html
ix-orl2-16.ix.netcom.com,[01/Jul/1995:00:25:33,GET /shuttle/resources/orbiters/atlantis.html HTTP/1.0,200,7025,/shuttle/resources/orbiters/atlantis.html
gclab040.ins.gu.edu.au,[01/Jul/1995:00:25:36,GET /shuttle/countdown/liftoff.html HTTP/1.0,200,4538,/shuttle/countdown/liftoff.html
leo.nmc.edu,[01/Jul/1995:00:25:43,GET /shuttle/countdown/lps/fr.html HTTP/1.0,200,1879,/shuttle/countdown/lps/fr.html
n1031681.ksc.nasa.gov,[01/Jul/1995:00:25:46,GET /ksc.html HTTP/1.0,200,7074,/ksc.html
