ZXb2o4vNF18jLp6bdeLfk8rsN+dD8SEGMfn596vu+5A=,01/Jul/1995:00:02:27,"GET /cgi-bin/imagemap/countdown?103,146 HTTP/1.0",302,96,"/cgi-bin/imagemap/countdown?103,146",NA
7ikPXDZrDFNalfhvGyLopDWpS12n4jxU5+q0xxg4caQ=,01/Jul/1995:00:02:35,GET /shuttle/missions/ HTTP/1.0,200,12283,/shuttle/missions/,NA
a8FEAT6mvilJcFBacC1pKg==,01/Jul/1995:00:02:39,GET /software/winvn/winvn.html HTTP/1.0,200,9867,/software/winvn/winvn.html,NA
jAh1LksnqB8kwAcJF6uBiIQ5V0OwSNdB9vIIWSxxJeE=,01/Jul/1995:00:02:40,GET /software/winvn HTTP/1.0,302,-,/software/winvn,NA
W6TeilPKoxnG/Nc9kOM2lKxFsiU9ik5/hz/1dWwg/do=,01/Jul/1995:00:02:41,"GET /cgi-bin/imagemap/countdown?99,173 HTTP/1.0",302,110,"/cgi-bin/imagemap/countdown?99,173",NA
jAh1LksnqB8kwAcJF6uBiIQ5V0OwSNdB9vIIWSxxJeE=,01/Jul/1995:00:02:42,GET /software/winvn/ HTTP/1.0,200,2244,/software/winvn/,NA
ayhTRcT6a05qJaER/UsUWTc0HUFXX+Zg3vNUG/9zmMM=,01/Jul/1995:00:02:43,GET /shuttle/missions/sts-71/images/images.html HTTP/1.0,200,7634,/shuttle/missions/sts-71/images/images.html,NA
ZMf/dEyeZ48NWRptNc6x871cHzgHUTnVpZu/diMcsoc=,01/Jul/1995:00:02:55,GET /shuttle/missions/sts-71/images/KSC-95EC-0868.txt HTTP/1.0,200,657,/shuttle/missions/sts-71/images/KSC-95EC-0868.txt,Canada
LMt5ZvUwuB93H0bOsKCLFWX/mPIhvtXF+Rw3RJvweRM=,01/Jul/1995:00:02:57,GET /shuttle/missions/51-l/images/ HTTP/1.0,200,1038,/shuttle/missions/51-l/images/,Australia
VHxAketPSobQg1DcExCdlGa0BHQFcASLdOEYaTq+Xyc=,01/Jul/1995:00:02:57,GET /shuttle/missions/sts-71/mission-sts-71.html HTTP/1.0,200,12040,/shuttle/missions/sts-71/mission-sts-71.html,NA
GfButKjAFXf9YUFdKjFP78r0GWeZJlbF6oxbzc1KVVo=,01/Jul/1995:00:02:57,GET /shuttle/countdown/ HTTP/1.0,304,0,/shuttle/countdown/,NA
ybCmFpku/L5KWPWVCAzVsxz2XhSsuhGr5XzNVsPog2c=,01/Jul/1995:00:02:58,GET /msfc/astro_home.html HTTP/1.0,304,0,/msfc/astro_home.html,NA
rcY9jAPaquRqBDW1fCHAVg==,01/Jul/1995:00:03:00,GET /shuttle/missions/sts-49/mission-sts-49.html HTTP/1.0,200,9379,/shuttle/missions/sts-49/mission-sts-49.html,NA
ZXb2o4vNF18jLp6bdeLfk8rsN+dD8SEGMfn596vu+5A=,01/Jul/1995:00:03:00,"GET /cgi-bin/imagemap/countdown?102,210 HTTP/1.0",302,95,"/cgi-bin/imagemap/countdown?102,210",NA
EKdl/9IPYtvoMWmFfN91kKDc1cYFLxJH2/fAjutJwv4=,01/Jul/1995:00:03:01,GET / HTTP/1.0,200,7074,/,NA
ZXb2o4vNF18jLp6bdeLfk8rsN+dD8SEGMfn596vu+5A=,01/Jul/1995:00:03:02,GET /shuttle/countdown/tour.html HTTP/1.0,200,4347,/shuttle/countdown/tour.html,NA
bBFiLRGz85APLtPyiBa/WZKBW5XYDvXX/Ui2SpvNv9g=,01/Jul/1995:00:03:11,GET /shuttle/missions/sts-71/images/images.html HTTP/1.0,200,7634,/shuttle/missions/sts-71/images/images.html,NA
QsoR4Xfu+8sW0NY/QtdWcQ==,01/Jul/1995:00:03:12,GET /facts/about_ksc.html HTTP/1.0,200,3977,/facts/about_ksc.html,United States
LYUIlsB+HWuSuPoT5avoxFge1va+bcqxqVG6O0BkjnU=,01/Jul/1995:00:03:13,GET /shuttle/missions/sts-71/movies/movies.html HTTP/1.0,200,3092,/shuttle/missions/sts-71/movies/movies.html,NA
